region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
2,1,61,0.0,0.0,0.0,0,0.0,0.0,3,6.0
2,2,77,2.0,99.0,0.0,0,0.0,0.0,3,6.0
2,2,46,3.0,19.0,0.0,600000,0.0,0.0,2,4.0
2,1,53,0.0,0.0,600000.0,600000,45.0,2.0,2,4.0
2,1,16,0.0,0.0,0.0,600000,0.0,0.0,2,3.0
2,2,20,1.0,20.0,0.0,600000,0.0,0.0,2,4.0
2,2,0,0.0,0.0,0.0,600000,0.0,0.0,1,0.0
2,2,37,3.0,25.0,400000.0,400000,56.0,2.0,3,3.0
2,2,68,1.0,28.0,0.0,400000,0.0,0.0,2,6.0
2,1,12,0.0,0.0,0.0,400000,0.0,0.0,1,7.0
2,2,10,0.0,0.0,0.0,400000,0.0,0.0,1,4.0
2,2,6,0.0,0.0,0.0,400000,0.0,0.0,1,1.0
2,1,44,0.0,0.0,1600000.0,2200000,48.0,2.0,3,2.0
2,2,24,1.0,24.0,0.0,2200000,0.0,0.0,3,4.0
2,2,20,0.0,0.0,0.0,2200000,0.0,0.0,3,2.0
2,2,44,2.0,20.0,0.0,2200000,0.0,0.0,3,2.0
2,1,25,0.0,0.0,600000.0,2200000,48.0,2.0,3,4.0
2,1,0,0.0,0.0,0.0,2200000,0.0,0.0,1,0.0
2,1,32,0.0,0.0,850000.0,1060000,84.0,2.0,2,4.0
2,2,32,1.0,32.0,210000.0,1060000,45.0,2.0,3,6.0
2,2,0,0.0,0.0,0.0,1060000,0.0,0.0,1,0.0
2,1,46,0.0,0.0,500000.0,500000,45.0,2.0,3,3.0
2,1,44,0.0,0.0,1500000.0,1500000,26.0,2.0,3,5.0
2,2,36,3.0,17.0,0.0,1500000,0.0,0.0,2,4.0
2,1,75,0.0,0.0,0.0,1500000,0.0,0.0,2,5.0
2,2,15,0.0,0.0,0.0,1500000,0.0,0.0,2,2.0
2,2,4,0.0,0.0,0.0,1500000,0.0,0.0,1,0.0
2,1,53,0.0,0.0,900000.0,1203701,45.0,2.0,3,1.0
2,2,58,3.0,28.0,0.0,1203701,0.0,0.0,2,1.0
2,2,27,0.0,0.0,303701.0,1203701,45.0,2.0,3,2.0
2,2,21,0.0,0.0,0.0,1203701,0.0,0.0,3,1.0
2,1,62,0.0,0.0,600000.0,900000,60.0,2.0,3,4.0
2,2,53,2.0,29.0,300000.0,900000,45.0,2.0,2,4.0
2,2,24,0.0,0.0,0.0,900000,0.0,0.0,3,4.0
2,1,16,0.0,0.0,0.0,900000,0.0,0.0,1,8.0
2,1,51,0.0,0.0,800000.0,1300000,44.0,2.0,3,5.0
2,2,48,7.0,18.0,0.0,1300000,0.0,0.0,2,4.0
2,2,26,1.0,24.0,250000.0,1300000,45.0,2.0,3,3.0
2,2,20,1.0,16.0,250000.0,1300000,45.0,2.0,1,8.0
2,2,18,0.0,0.0,0.0,1300000,0.0,0.0,2,3.0
2,1,14,0.0,0.0,0.0,1300000,0.0,0.0,1,7.0
2,2,12,0.0,0.0,0.0,1300000,0.0,0.0,1,7.0
2,1,3,0.0,0.0,0.0,1300000,0.0,0.0,1,0.0
2,1,2,0.0,0.0,0.0,1300000,0.0,0.0,1,0.0
2,1,42,0.0,0.0,1200000.0,1300000,84.0,2.0,3,3.0
2,2,42,2.0,23.0,100000.0,1300000,70.0,2.0,3,3.0
2,1,14,0.0,0.0,0.0,1300000,0.0,0.0,1,8.0
2,2,51,2.0,17.0,380000.0,910000,65.0,2.0,2,2.0
2,1,25,0.0,0.0,530000.0,910000,48.0,2.0,2,4.0
2,2,22,0.0,0.0,0.0,910000,0.0,0.0,3,3.0
2,1,42,0.0,0.0,1346891.0,1346891,54.0,2.0,3,5.0
2,2,41,2.0,24.0,0.0,1346891,0.0,0.0,3,3.0
2,2,17,0.0,0.0,0.0,1346891,0.0,0.0,2,3.0
2,1,11,0.0,0.0,0.0,1346891,0.0,0.0,1,6.0
2,1,46,0.0,0.0,1100000.0,1300000,84.0,2.0,2,4.0
2,2,41,1.0,19.0,200000.0,1300000,45.0,2.0,2,4.0
2,1,18,0.0,0.0,0.0,1300000,0.0,0.0,2,3.0
2,1,63,0.0,0.0,1200000.0,1750000,44.0,2.0,4,5.0
2,2,63,2.0,27.0,0.0,1750000,0.0,0.0,3,5.0
2,1,33,0.0,0.0,550000.0,1750000,40.0,2.0,4,5.0
2,1,49,0.0,0.0,1000000.0,1000000,45.0,2.0,2,4.0
2,2,39,2.0,24.0,100000.0,100000,16.0,2.0,2,4.0
2,1,5,0.0,0.0,0.0,100000,0.0,0.0,1,0.0
2,2,15,0.0,0.0,0.0,100000,0.0,0.0,1,7.0
2,1,49,0.0,0.0,1400000.0,1400000,84.0,2.0,3,4.0
2,2,40,3.0,27.0,0.0,1400000,0.0,0.0,3,2.0
2,2,20,0.0,0.0,0.0,1400000,0.0,0.0,3,2.0
2,2,17,0.0,0.0,0.0,1400000,0.0,0.0,2,4.0
2,1,15,0.0,0.0,0.0,1400000,0.0,0.0,2,2.0
2,1,75,0.0,0.0,0.0,0,0.0,0.0,1,2.0
2,2,73,8.0,18.0,0.0,0,0.0,0.0,2,3.0
2,1,73,0.0,0.0,0.0,0,0.0,0.0,3,5.0
2,2,65,6.0,15.0,0.0,0,0.0,0.0,3,2.0
2,1,30,0.0,0.0,650000.0,1050000,84.0,2.0,3,3.0
2,2,24,1.0,22.0,400000.0,1050000,40.0,1.0,2,4.0
2,2,2,0.0,0.0,0.0,1050000,0.0,0.0,1,0.0
2,1,61,0.0,0.0,980000.0,980000,45.0,2.0,3,6.0
2,2,51,2.0,34.0,0.0,980000,0.0,0.0,2,4.0
2,2,13,0.0,0.0,0.0,980000,0.0,0.0,1,8.0
2,1,50,0.0,0.0,2297296.0,2297296,0.0,2.0,3,5.0
2,2,45,3.0,30.0,0.0,2297296,0.0,0.0,3,4.0
2,1,15,0.0,0.0,0.0,2297296,0.0,0.0,2,1.0
2,2,13,0.0,0.0,0.0,2297296,0.0,0.0,1,7.0
2,1,10,0.0,0.0,0.0,2297296,0.0,0.0,1,4.0
2,1,83,0.0,0.0,0.0,0,0.0,0.0,1,4.0
2,2,61,4.0,16.0,0.0,420000,9.0,2.0,2,2.0
2,1,68,0.0,0.0,280000.0,420000,45.0,2.0,2,2.0
2,2,20,0.0,0.0,140000.0,420000,20.0,2.0,3,3.0
2,1,50,0.0,0.0,0.0,250000,0.0,0.0,1,8.0
2,2,40,2.0,19.0,250000.0,250000,45.0,2.0,1,8.0
2,1,21,0.0,0.0,0.0,250000,0.0,0.0,3,2.0
2,2,18,0.0,0.0,0.0,250000,0.0,0.0,2,4.0
2,2,43,4.0,21.0,250000.0,450000,45.0,2.0,3,4.0
2,2,72,5.0,19.0,0.0,450000,0.0,0.0,1,6.0
2,2,22,2.0,18.0,200000.0,450000,45.0,2.0,3,4.0
2,2,16,0.0,0.0,0.0,450000,0.0,0.0,2,2.0
2,2,10,0.0,0.0,0.0,450000,0.0,0.0,1,4.0
2,2,7,0.0,0.0,0.0,450000,0.0,0.0,1,2.0
2,1,4,0.0,0.0,0.0,450000,0.0,0.0,1,0.0
2,1,2,0.0,0.0,0.0,450000,0.0,0.0,1,0.0
2,2,68,6.0,17.0,5000.0,5000,2.0,2.0,1,1.0
2,2,45,3.0,22.0,50000.0,70000,8.0,1.0,1,8.0
2,1,15,0.0,0.0,0.0,70000,0.0,0.0,2,2.0
2,1,9,0.0,0.0,0.0,70000,0.0,0.0,1,3.0
2,2,77,4.0,20.0,0.0,70000,0.0,0.0,2,6.0
2,2,23,1.0,20.0,20000.0,70000,0.0,2.0,3,2.0
2,1,44,0.0,0.0,600000.0,600000,120.0,2.0,2,3.0
2,2,37,4.0,16.0,0.0,600000,0.0,0.0,2,1.0
2,2,22,1.0,19.0,0.0,600000,0.0,0.0,2,4.0
2,2,16,0.0,0.0,0.0,600000,0.0,0.0,2,2.0
2,1,9,0.0,0.0,0.0,600000,0.0,0.0,1,3.0
2,1,6,0.0,0.0,0.0,600000,0.0,0.0,1,1.0
2,2,2,0.0,0.0,0.0,600000,0.0,0.0,1,0.0
2,1,52,0.0,0.0,350000.0,575000,48.0,2.0,2,4.0
2,2,50,3.0,25.0,5000.0,575000,0.0,2.0,1,8.0
2,1,24,0.0,0.0,220000.0,575000,45.0,2.0,2,4.0
2,2,19,0.0,0.0,0.0,575000,0.0,0.0,2,3.0
2,2,10,0.0,0.0,0.0,575000,0.0,0.0,1,5.0
2,1,34,0.0,0.0,470000.0,470000,45.0,2.0,2,4.0
2,2,32,3.0,19.0,0.0,470000,0.0,0.0,2,4.0
2,2,13,0.0,0.0,0.0,470000,0.0,0.0,1,6.0
2,1,9,0.0,0.0,0.0,470000,0.0,0.0,1,2.0
2,2,6,0.0,0.0,0.0,470000,0.0,0.0,1,0.0
