region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
7.0,1.0,42.0,1.0,28.0,1300000.0,1300000.0,22.0,1.0,4.0
7.0,2.0,34.0,0.0,0.0,2100000.0,2100000.0,33.0,2.0,4.0
7.0,2.0,41.0,3.0,28.0,2000000.0,2000000.0,40.0,2.0,3.0
7.0,1.0,42.0,3.0,29.0,3500000.0,3500000.0,50.0,2.0,3.0
7.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,64.0,1.0,24.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,40.0,3.0,28.0,1000000.0,1000000.0,80.0,2.0,3.0
7.0,2.0,37.0,3.0,24.0,1000000.0,1000000.0,70.0,2.0,3.0
7.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,1.0,46.0,0.0,0.0,2000000.0,2000000.0,48.0,2.0,3.0
7.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,53.0,2.0,25.0,700000.0,700000.0,65.0,2.0,2.0
7.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,80.0,4.0,20.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,74.0,3.0,22.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,31.0,1.0,29.0,1500000.0,1500000.0,45.0,2.0,3.0
7.0,2.0,28.0,1.0,26.0,500000.0,500000.0,45.0,2.0,3.0
7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,68.0,3.0,30.0,0.0,0.0,0.0,0.0,4.0
7.0,2.0,65.0,3.0,27.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,31.0,0.0,0.0,500000.0,500000.0,45.0,2.0,3.0
7.0,2.0,27.0,0.0,0.0,270000.0,270000.0,54.0,2.0,3.0
7.0,1.0,49.0,7.0,27.0,800000.0,800000.0,45.0,2.0,3.0
7.0,2.0,67.0,12.0,19.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,1.0,42.0,2.0,28.0,1500000.0,1500000.0,40.0,2.0,3.0
7.0,2.0,42.0,2.0,28.0,1000000.0,1000000.0,40.0,2.0,3.0
7.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,24.0,2.0,16.0,226000.0,226000.0,45.0,2.0,2.0
7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,2.0,76.0,2.0,24.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,84.0,2.0,33.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,49.0,1.0,26.0,896166.0,896166.0,24.0,2.0,3.0
