region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
8,1,22,0.0,0.0,168880.0,168880,20.0,1.0,3,2
8,2,26,1.0,19.0,0.0,0,0.0,0.0,1,1
8,1,30,0.0,0.0,0.0,0,18.0,2.0,2,1
8,1,8,0.0,0.0,0.0,0,0.0,0.0,1,2
8,1,52,0.0,0.0,321664.0,321664,42.0,2.0,1,2
8,2,47,1.0,15.0,0.0,321664,0.0,0.0,1,2
8,2,26,1.0,17.0,180000.0,180000,0.0,0.0,1,1
8,1,7,0.0,0.0,0.0,180000,0.0,0.0,1,2
8,1,55,0.0,0.0,886527.0,1296727,45.0,2.0,3,1
8,2,48,2.0,23.0,410200.0,1296727,40.0,2.0,3,1
8,1,21,0.0,0.0,0.0,1296727,0.0,0.0,3,2
8,2,23,0.0,0.0,0.0,1296727,0.0,0.0,3,2
8,2,73,7.0,17.0,0.0,167598,0.0,0.0,1,1
8,1,44,0.0,0.0,167598.0,167598,45.0,2.0,2,2
8,2,59,2.0,22.0,21980.0,70611,2.0,2.0,1,1
8,2,27,1.0,26.0,48631.0,70611,10.0,2.0,3,2
8,2,1,0.0,0.0,0.0,70611,0.0,0.0,1,7
8,2,77,2.0,20.0,0.0,0,0.0,0.0,1,1
8,2,57,0.0,0.0,0.0,0,0.0,0.0,2,1
8,1,50,0.0,0.0,164080.0,164080,84.0,2.0,3,1
8,2,63,2.0,24.0,0.0,0,0.0,0.0,2,2
8,1,74,0.0,0.0,0.0,1428700,0.0,0.0,2,1
8,2,67,2.0,24.0,0.0,1428700,0.0,0.0,3,2
8,2,38,0.0,0.0,593460.0,1428700,46.0,2.0,3,1
8,1,38,0.0,0.0,835240.0,1428700,50.0,2.0,3,1
8,2,68,0.0,0.0,0.0,0,0.0,0.0,3,1
8,2,22,0.0,0.0,0.0,0,0.0,0.0,3,2
8,1,19,0.0,0.0,0.0,0,0.0,0.0,3,2
8,1,20,0.0,0.0,0.0,0,0.0,0.0,3,2
8,1,18,0.0,0.0,0.0,0,0.0,0.0,3,2
8,2,67,2.0,32.0,0.0,0,0.0,0.0,3,1
8,2,25,0.0,0.0,0.0,0,0.0,0.0,3,2
8,2,23,0.0,0.0,0.0,0,0.0,0.0,3,2
8,2,72,0.0,0.0,0.0,0,0.0,0.0,3,1
8,2,56,3.0,19.0,0.0,1099000,0.0,0.0,3,2
8,2,33,0.0,0.0,1099000.0,1099000,44.0,1.0,3,2
8,2,26,0.0,0.0,855.0,855,0.0,0.0,3,2
8,2,22,0.0,0.0,137375.0,137375,18.0,2.0,3,2
8,2,66,3.0,15.0,0.0,135177,0.0,0.0,1,2
8,1,21,0.0,0.0,135177.0,135177,20.0,2.0,3,2
8,2,24,0.0,0.0,0.0,135177,0.0,0.0,3,1
8,2,25,0.0,0.0,0.0,0,0.0,0.0,3,2
8,1,23,0.0,0.0,0.0,0,0.0,0.0,3,2
8,2,59,4.0,30.0,336294.0,512134,40.0,2.0,3,1
8,2,29,0.0,0.0,0.0,512134,0.0,0.0,1,7
8,1,18,0.0,0.0,0.0,512134,0.0,0.0,2,1
8,2,26,1.0,25.0,175840.0,512134,48.0,2.0,3,2
8,1,1,0.0,0.0,0.0,512134,0.0,0.0,1,7
8,2,41,2.0,21.0,131880.0,131880,30.0,1.0,2,2
8,2,19,0.0,0.0,0.0,131880,0.0,0.0,3,2
8,1,13,0.0,0.0,0.0,131880,0.0,0.0,1,2
8,1,24,0.0,0.0,230790.0,230790,60.0,2.0,2,2
8,2,20,1.0,19.0,0.0,230790,0.0,0.0,2,2
8,1,1,0.0,0.0,0.0,230790,0.0,0.0,1,7
8,2,45,3.0,26.0,529336.0,960046,50.0,2.0,2,1
8,1,45,0.0,0.0,430710.0,960046,50.0,2.0,2,1
8,2,19,0.0,0.0,0.0,960046,0.0,0.0,3,2
8,2,17,0.0,0.0,0.0,960046,0.0,0.0,2,2
8,1,14,0.0,0.0,0.0,960046,0.0,0.0,2,2
8,2,47,3.0,29.0,17091.0,17091,0.0,0.0,1,1
8,1,52,0.0,0.0,0.0,17091,0.0,0.0,2,2
8,1,19,0.0,0.0,0.0,17091,0.0,0.0,3,2
8,1,16,0.0,0.0,0.0,17091,0.0,0.0,2,2
8,2,10,0.0,0.0,0.0,17091,0.0,0.0,1,2
8,1,76,0.0,0.0,0.0,462665,0.0,0.0,1,2
8,1,35,0.0,0.0,203315.0,462665,45.0,2.0,2,2
8,1,9,0.0,0.0,0.0,462665,0.0,0.0,1,2
8,2,65,5.0,18.0,61530.0,462665,45.0,2.0,1,2
8,2,38,3.0,22.0,197820.0,462665,45.0,2.0,2,1
8,2,16,0.0,0.0,0.0,462665,0.0,0.0,2,2
8,2,4,0.0,0.0,0.0,462665,0.0,0.0,1,7
8,2,80,5.0,22.0,0.0,247275,0.0,0.0,1,2
8,2,54,2.0,20.0,43960.0,247275,9.0,2.0,2,2
8,2,23,0.0,0.0,0.0,247275,0.0,0.0,1,7
8,1,46,0.0,0.0,0.0,247275,0.0,0.0,2,2
8,1,44,0.0,0.0,203315.0,247275,45.0,2.0,1,7
8,1,68,0.0,0.0,0.0,197820,0.0,0.0,1,1
8,2,70,1.0,25.0,0.0,197820,0.0,0.0,1,2
8,1,69,0.0,0.0,0.0,197820,0.0,0.0,1,7
8,2,42,0.0,0.0,197820.0,197820,45.0,2.0,2,1
8,2,78,0.0,0.0,0.0,0,0.0,0.0,1,1
8,2,48,3.0,19.0,35168.0,35168,10.0,2.0,1,2
8,1,14,0.0,0.0,0.0,35168,0.0,0.0,1,2
8,2,12,0.0,0.0,0.0,35168,0.0,0.0,1,2
8,1,6,0.0,0.0,0.0,35168,0.0,0.0,1,2
8,1,76,0.0,0.0,0.0,549500,0.0,0.0,2,2
8,2,63,4.0,18.0,0.0,549500,0.0,0.0,2,1
8,2,39,3.0,22.0,0.0,549500,0.0,0.0,2,1
8,1,41,0.0,0.0,274750.0,549500,45.0,2.0,2,1
8,2,16,0.0,0.0,0.0,549500,0.0,0.0,2,2
8,2,10,0.0,0.0,0.0,549500,0.0,0.0,1,2
8,2,6,0.0,0.0,0.0,549500,0.0,0.0,1,2
8,2,30,1.0,21.0,274750.0,549500,45.0,2.0,1,7
8,2,9,0.0,0.0,0.0,549500,0.0,0.0,1,2
8,2,44,2.0,23.0,430710.0,980210,50.0,2.0,2,2
8,1,46,0.0,0.0,549500.0,980210,45.0,2.0,2,1
8,2,17,0.0,0.0,0.0,980210,0.0,0.0,2,2
8,1,21,0.0,0.0,197820.0,197820,45.0,2.0,2,2
8,2,17,1.0,16.0,0.0,197820,0.0,0.0,2,2
8,2,0,0.0,0.0,0.0,197820,0.0,0.0,1,7
8,2,49,3.0,16.0,0.0,703360,0.0,0.0,1,1
8,1,38,0.0,0.0,197820.0,703360,45.0,2.0,2,2
8,1,23,0.0,0.0,32970.0,703360,45.0,2.0,2,2
8,2,24,1.0,22.0,197820.0,703360,45.0,2.0,3,1
8,2,2,0.0,0.0,0.0,703360,0.0,0.0,1,7
8,1,44,0.0,0.0,274750.0,703360,45.0,2.0,2,1
8,2,71,3.0,20.0,0.0,0,0.0,0.0,1,2
8,1,36,0.0,0.0,197820.0,197820,45.0,2.0,1,2
8,2,36,0.0,0.0,0.0,197820,0.0,0.0,2,1
8,1,77,0.0,0.0,0.0,455564,0.0,0.0,1,1
8,2,77,5.0,18.0,0.0,455564,0.0,0.0,1,2
8,2,52,0.0,0.0,213784.0,455564,45.0,2.0,2,1
8,1,41,0.0,0.0,241780.0,455564,45.0,2.0,2,1
8,2,56,3.0,16.0,0.0,294305,0.0,0.0,1,2
8,1,29,0.0,0.0,80000.0,294305,0.0,0.0,2,1
8,1,55,0.0,0.0,214305.0,294305,50.0,2.0,2,1
8,2,69,4.0,22.0,0.0,294305,0.0,0.0,1,2
8,1,83,0.0,0.0,0.0,202400,0.0,0.0,1,1
8,2,35,0.0,0.0,0.0,202400,0.0,0.0,2,1
8,2,42,0.0,0.0,0.0,202400,0.0,0.0,1,2
8,1,48,0.0,0.0,114480.0,202400,30.0,2.0,1,2
8,1,37,0.0,0.0,87920.0,202400,40.0,2.0,2,2
8,1,42,0.0,0.0,103306.0,180236,20.0,2.0,2,1
8,2,42,0.0,0.0,76930.0,180236,20.0,2.0,2,1
8,1,57,0.0,0.0,197820.0,197820,45.0,2.0,2,1
8,2,42,0.0,0.0,0.0,197820,0.0,0.0,2,1
8,1,50,0.0,0.0,175840.0,175840,45.0,2.0,2,2
8,2,59,2.0,29.0,0.0,175840,0.0,0.0,1,2
8,2,33,2.0,20.0,109900.0,307720,45.0,2.0,2,1
8,1,34,0.0,0.0,197820.0,307720,45.0,2.0,2,2
8,2,12,0.0,0.0,0.0,307720,0.0,0.0,1,2
8,1,9,0.0,0.0,0.0,307720,0.0,0.0,1,2
8,2,45,3.0,25.0,0.0,307650,0.0,0.0,1,1
8,1,45,0.0,0.0,307650.0,307650,10.0,2.0,1,1
8,1,20,0.0,0.0,0.0,307650,0.0,0.0,3,2
8,2,16,0.0,0.0,0.0,307650,0.0,0.0,2,2
8,2,11,0.0,0.0,0.0,307650,0.0,0.0,1,2
8,1,25,0.0,0.0,0.0,0,0.0,0.0,3,2
8,1,23,0.0,0.0,0.0,0,0.0,0.0,3,2
8,2,19,0.0,0.0,0.0,0,0.0,0.0,3,2
8,2,73,2.0,20.0,0.0,0,0.0,0.0,1,7
8,1,68,0.0,0.0,0.0,461212,0.0,0.0,1,1
8,1,31,0.0,0.0,230606.0,461212,45.0,2.0,2,1
8,1,25,0.0,0.0,230606.0,461212,45.0,2.0,2,1
8,1,20,0.0,0.0,0.0,461212,0.0,0.0,2,1
8,2,70,4.0,20.0,0.0,461212,0.0,0.0,1,2
8,1,76,0.0,0.0,0.0,0,0.0,0.0,1,2
8,1,69,0.0,0.0,0.0,0,0.0,0.0,1,1
8,1,44,0.0,0.0,664437.0,921787,40.0,2.0,2,1
8,2,37,1.0,17.0,257350.0,921787,40.0,2.0,2,1
8,2,58,3.0,23.0,201117.0,201117,40.0,2.0,2,2
8,1,22,0.0,0.0,0.0,201117,0.0,0.0,3,2
8,1,45,0.0,0.0,242695.0,242695,33.0,2.0,2,1
8,2,34,3.0,19.0,0.0,242695,0.0,0.0,2,2
8,2,15,0.0,0.0,0.0,242695,0.0,0.0,2,2
8,1,11,0.0,0.0,0.0,242695,0.0,0.0,1,2
8,1,3,0.0,0.0,0.0,242695,0.0,0.0,1,7
