region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,folio,ecivil,pco2,nv
7,1,55,0.0,0.0,0.0,0,0.0,0.0,1,71011001021.0,7,1,99
7,1,81,0.0,0.0,0.0,0,0.0,0.0,3,71011001031.0,1,1,28
7,2,81,5.0,19.0,0.0,0,0.0,0.0,2,71011001031.0,1,2,28
7,1,55,0.0,0.0,0.0,0,0.0,0.0,3,71011001031.0,4,3,99
7,1,53,0.0,0.0,0.0,0,0.0,0.0,3,71011001031.0,4,3,99
7,2,36,0.0,0.0,800000.0,800000,45.0,2.0,3,71011001041.0,7,1,99
7,2,69,3.0,21.0,0.0,800000,0.0,0.0,1,71011001041.0,6,12,99
7,2,72,6.0,19.0,0.0,0,0.0,0.0,99,71011001051.0,6,1,99
7,1,55,0.0,0.0,1500000.0,1500000,40.0,2.0,3,71011001071.0,5,1,99
7,1,61,0.0,0.0,2000000.0,2000000,30.0,2.0,3,71011001081.0,4,1,99
7,1,30,0.0,0.0,850000.0,850000,45.0,2.0,3,71011001091.0,7,1,99
7,2,29,0.0,0.0,1000000.0,1000000,40.0,2.0,3,71011001111.0,7,1,99
7,2,73,3.0,19.0,0.0,0,0.0,0.0,3,71011001121.0,6,1,99
7,2,90,5.0,20.0,0.0,0,0.0,0.0,2,71011001131.0,6,1,99
7,1,28,0.0,0.0,600000.0,600000,40.0,2.0,3,71011001141.0,7,1,99
7,1,38,0.0,0.0,1800000.0,1800000,40.0,2.0,3,71011001151.0,7,1,99
7,1,35,0.0,0.0,1200000.0,1200000,40.0,2.0,3,71011001161.0,2,1,99
7,2,33,0.0,0.0,0.0,1200000,0.0,0.0,2,71011001161.0,2,2,99
7,2,68,4.0,24.0,100000.0,527229,20.0,2.0,1,71011002011.0,7,1,12
7,1,56,0.0,0.0,234229.0,527229,54.0,2.0,2,71011002011.0,4,4,99
7,1,21,0.0,0.0,193000.0,527229,54.0,2.0,2,71011002011.0,7,12,99
7,1,13,0.0,0.0,0.0,527229,0.0,0.0,1,71011002011.0,7,12,99
7,2,59,2.0,21.0,0.0,506842,0.0,0.0,2,71011002021.0,7,1,51
7,2,76,1.0,16.0,0.0,506842,0.0,0.0,1,71011002021.0,7,12,99
7,1,34,0.0,0.0,253421.0,506842,30.0,2.0,1,71011002021.0,7,4,99
7,1,28,0.0,0.0,253421.0,506842,30.0,2.0,1,71011002021.0,7,1,20
7,2,8,0.0,0.0,0.0,506842,0.0,0.0,1,71011002021.0,7,4,99
7,2,67,1.0,33.0,0.0,0,48.0,2.0,1,71011002041.0,7,1,33
7,1,34,0.0,0.0,0.0,0,0.0,0.0,3,71011002041.0,7,4,99
7,1,64,0.0,0.0,400000.0,400000,60.0,2.0,1,71011002061.0,7,1,99
7,1,55,0.0,0.0,350000.0,470000,60.0,2.0,2,71011003011.0,1,1,20
7,2,55,4.0,19.0,0.0,470000,0.0,0.0,2,71011003011.0,1,2,20
7,2,35,0.0,0.0,120000.0,470000,24.0,2.0,3,71011003011.0,7,3,99
7,2,67,0.0,0.0,0.0,220000,0.0,0.0,2,71011003021.0,7,1,99
7,1,55,0.0,0.0,220000.0,220000,45.0,2.0,1,71011003021.0,7,12,99
7,2,82,11.0,17.0,0.0,0,0.0,0.0,1,71011003041.0,6,1,99
7,1,37,0.0,0.0,0.0,0,0.0,0.0,2,71011003041.0,7,12,99
7,1,73,0.0,0.0,160000.0,160000,42.0,2.0,1,71011003051.0,1,1,99
7,2,73,5.0,21.0,0.0,160000,0.0,0.0,1,71011003051.0,1,2,99
7,1,26,0.0,0.0,210000.0,520000,45.0,2.0,1,71011004011.0,2,1,26
7,2,25,2.0,19.0,0.0,520000,0.0,0.0,2,71011004011.0,2,2,25
7,1,32,0.0,0.0,210000.0,520000,45.0,2.0,2,71011004011.0,2,1,32
7,2,36,2.0,14.0,100000.0,520000,17.0,2.0,1,71011004011.0,2,2,36
7,1,6,0.0,0.0,0.0,520000,0.0,0.0,1,71011004011.0,7,3,99
7,1,0,0.0,0.0,0.0,520000,0.0,0.0,1,71011004011.0,7,3,99
7,2,30,1.0,19.0,210000.0,210000,23.0,2.0,3,71011004031.0,2,1,20
7,1,31,0.0,0.0,0.0,210000,0.0,0.0,2,71011004031.0,2,2,99
7,2,10,0.0,0.0,0.0,210000,0.0,0.0,1,71011004031.0,7,4,99
7,1,42,0.0,0.0,280000.0,510000,45.0,2.0,1,71011004041.0,1,1,36
7,2,42,3.0,21.0,0.0,510000,0.0,0.0,2,71011004041.0,1,2,36
7,2,40,0.0,0.0,0.0,510000,0.0,0.0,2,71011004041.0,1,1,34
7,1,42,0.0,0.0,230000.0,510000,45.0,2.0,1,71011004041.0,1,2,36
7,1,13,0.0,0.0,0.0,510000,0.0,0.0,1,71011004041.0,7,3,99
7,1,6,0.0,0.0,0.0,510000,0.0,0.0,1,71011004041.0,7,3,99
7,2,72,7.0,24.0,50000.0,50000,60.0,2.0,1,71011004051.0,6,1,99
7,1,53,0.0,0.0,0.0,95000,0.0,0.0,2,71011005011.0,1,1,99
7,2,52,3.0,21.0,95000.0,95000,45.0,2.0,2,71011005011.0,1,2,99
7,2,23,1.0,21.0,0.0,210000,0.0,0.0,2,71011005012.0,2,1,22
7,1,25,0.0,0.0,210000.0,210000,45.0,2.0,2,71011005012.0,2,2,24
7,2,1,0.0,0.0,0.0,210000,0.0,0.0,1,71011005012.0,7,3,99
7,1,65,0.0,0.0,200000.0,780000,66.0,2.0,1,71011005031.0,6,1,25
7,1,37,0.0,0.0,280000.0,780000,45.0,2.0,1,71011005031.0,7,4,99
7,1,40,0.0,0.0,300000.0,780000,45.0,2.0,1,71011005031.0,7,4,99
7,2,65,3.0,19.0,170000.0,170000,45.0,2.0,1,71011005041.0,6,1,99
7,1,13,0.0,0.0,0.0,170000,0.0,0.0,1,71011005041.0,7,12,99
7,1,57,0.0,0.0,1197000.0,1197000,60.0,2.0,1,71011005051.0,1,1,33
7,2,59,3.0,24.0,0.0,1197000,0.0,0.0,2,71011005051.0,1,2,35
7,1,47,0.0,0.0,0.0,1197000,0.0,0.0,1,71011005051.0,7,12,99
7,1,24,0.0,0.0,0.0,1197000,0.0,0.0,2,71011005051.0,7,3,99
7,1,48,0.0,0.0,0.0,1197000,0.0,0.0,1,71011005051.0,7,12,99
7,2,52,0.0,0.0,0.0,1197000,0.0,0.0,1,71011005051.0,7,12,99
7,2,54,0.0,0.0,0.0,1197000,0.0,0.0,1,71011005051.0,7,12,99
7,2,70,5.0,19.0,50000.0,310000,24.0,2.0,1,71011005071.0,2,1,99
7,1,65,0.0,0.0,0.0,310000,0.0,0.0,2,71011005071.0,2,2,60
7,1,30,0.0,0.0,260000.0,310000,45.0,2.0,2,71011005071.0,2,1,99
7,2,27,1.0,21.0,0.0,310000,0.0,0.0,2,71011005071.0,2,2,22
7,2,5,0.0,0.0,0.0,310000,0.0,0.0,1,71011005071.0,7,5,99
7,1,67,0.0,0.0,0.0,178000,0.0,0.0,1,71011005081.0,1,1,99
7,2,62,4.0,19.0,178000.0,178000,45.0,2.0,2,71011005081.0,1,2,99
7,2,65,5.0,25.0,0.0,950000,0.0,0.0,1,71011005091.0,6,1,35
7,1,40,0.0,0.0,450000.0,950000,45.0,2.0,2,71011005091.0,7,4,99
7,1,30,0.0,0.0,500000.0,950000,45.0,2.0,3,71011005091.0,7,4,99
7,1,73,0.0,0.0,0.0,0,0.0,0.0,1,71011005121.0,1,1,99
7,2,73,6.0,18.0,0.0,0,0.0,0.0,2,71011005121.0,1,2,99
7,2,39,0.0,0.0,0.0,0,0.0,0.0,1,71011005121.0,7,12,99
7,1,66,0.0,0.0,0.0,280000,0.0,0.0,1,71011005131.0,1,1,31
7,2,63,4.0,23.0,0.0,280000,0.0,0.0,2,71011005131.0,1,2,28
7,1,35,0.0,0.0,280000.0,280000,45.0,2.0,2,71011005131.0,7,3,99
7,1,44,0.0,0.0,0.0,0,0.0,0.0,2,71011005141.0,1,1,30
7,2,44,4.0,19.0,0.0,0,0.0,0.0,2,71011005141.0,1,2,30
7,2,24,0.0,0.0,0.0,0,0.0,0.0,3,71011005141.0,7,3,99
7,1,23,0.0,0.0,0.0,0,0.0,0.0,3,71011005141.0,7,3,99
7,2,19,0.0,0.0,0.0,0,0.0,0.0,2,71011005141.0,7,3,99
7,1,14,0.0,0.0,0.0,0,0.0,0.0,1,71011005141.0,7,3,99
7,1,67,0.0,0.0,0.0,460000,0.0,0.0,2,71011005161.0,1,1,64
7,2,34,2.0,20.0,160000.0,460000,30.0,2.0,2,71011005161.0,4,1,31
7,1,32,0.0,0.0,300000.0,460000,45.0,2.0,2,71011005161.0,7,3,99
7,1,13,0.0,0.0,0.0,460000,0.0,0.0,1,71011005161.0,7,4,99
7,2,69,2.0,25.0,0.0,460000,0.0,0.0,2,71011005161.0,1,2,37
7,2,3,0.0,0.0,0.0,460000,0.0,0.0,1,71011005161.0,7,4,99
7,1,59,0.0,0.0,385000.0,1460070,30.0,1.0,1,71011005171.0,1,1,26
7,2,30,0.0,0.0,375070.0,1460070,45.0,2.0,3,71011005171.0,7,3,99
7,1,26,0.0,0.0,0.0,1460070,0.0,0.0,3,71011005171.0,7,3,99
7,2,59,5.0,21.0,0.0,1460070,0.0,0.0,2,71011005171.0,1,2,26
7,2,33,0.0,0.0,700000.0,1460070,45.0,2.0,3,71011005171.0,7,3,99
7,1,76,0.0,0.0,0.0,0,0.0,0.0,1,71011005181.0,7,1,99
7,2,69,0.0,0.0,0.0,0,0.0,0.0,1,71011005181.0,7,12,99
7,1,85,0.0,0.0,0.0,494348,0.0,0.0,2,71011005201.0,1,1,30
7,2,87,6.0,30.0,0.0,494348,0.0,0.0,1,71011005201.0,1,2,32
7,1,20,0.0,0.0,0.0,494348,0.0,0.0,3,71011005201.0,7,12,99
7,2,55,0.0,0.0,494348.0,494348,50.0,2.0,3,71011005201.0,7,3,99
7,1,65,0.0,0.0,400000.0,400000,45.0,2.0,2,71011005211.0,1,1,99
7,2,65,5.0,17.0,0.0,400000,0.0,0.0,2,71011005211.0,1,2,99
7,2,49,2.0,22.0,250000.0,250000,45.0,2.0,3,71011006011.0,4,1,26
7,1,25,0.0,0.0,0.0,250000,0.0,0.0,3,71011006011.0,7,4,99
7,1,23,0.0,0.0,0.0,250000,0.0,0.0,3,71011006011.0,7,4,99
7,1,41,0.0,0.0,1000000.0,1000000,45.0,2.0,3,71011006041.0,1,1,30
7,2,46,3.0,29.0,0.0,1000000,0.0,0.0,3,71011006041.0,1,2,35
7,1,17,0.0,0.0,0.0,1000000,0.0,0.0,2,71011006041.0,7,3,99
7,2,15,0.0,0.0,0.0,1000000,0.0,0.0,2,71011006041.0,7,3,99
7,2,11,0.0,0.0,0.0,1000000,0.0,0.0,1,71011006041.0,7,3,99
7,2,75,5.0,21.0,0.0,0,0.0,0.0,1,71011006051.0,6,1,32
7,2,50,0.0,0.0,0.0,0,0.0,0.0,2,71011006051.0,7,4,99
7,2,43,0.0,0.0,0.0,0,0.0,0.0,2,71011006051.0,7,4,99
7,2,64,2.0,19.0,200000.0,200000,45.0,2.0,1,71011006091.0,6,1,21
7,1,43,0.0,0.0,0.0,200000,0.0,0.0,2,71011006091.0,7,4,99
7,1,59,0.0,0.0,350000.0,350000,45.0,2.0,1,71011006101.0,7,1,99
7,1,58,0.0,0.0,0.0,360000,0.0,0.0,1,71011007021.0,1,1,50
7,2,54,2.0,21.0,0.0,360000,0.0,0.0,2,71011007021.0,1,2,26
7,2,33,1.0,25.0,280000.0,360000,45.0,2.0,2,71011007021.0,7,1,25
7,2,28,0.0,0.0,80000.0,360000,16.0,2.0,2,71011007021.0,7,3,99
7,1,8,0.0,0.0,0.0,360000,0.0,0.0,1,71011007021.0,7,4,99
7,1,77,0.0,0.0,0.0,0,0.0,0.0,2,71011007041.0,1,1,77
7,2,73,5.0,17.0,0.0,0,0.0,0.0,1,71011007041.0,1,2,99
7,1,45,0.0,0.0,0.0,0,0.0,2.0,2,71011007041.0,7,1,45
7,2,0,0.0,0.0,0.0,0,0.0,0.0,1,71011007041.0,7,4,99
7,1,72,0.0,0.0,0.0,490000,0.0,0.0,1,71011007061.0,1,1,50
7,2,68,3.0,20.0,0.0,490000,0.0,0.0,1,71011007061.0,1,2,46
7,2,48,1.0,20.0,280000.0,490000,45.0,2.0,2,71011007061.0,7,1,26
7,1,28,0.0,0.0,0.0,490000,0.0,0.0,3,71011007061.0,7,4,99
7,2,22,0.0,0.0,210000.0,490000,37.0,2.0,2,71011007061.0,7,3,99
7,1,85,0.0,0.0,0.0,210000,0.0,0.0,1,71011007071.0,1,1,38
7,2,75,7.0,18.0,0.0,210000,0.0,0.0,1,71011007071.0,1,2,28
7,1,47,0.0,0.0,210000.0,210000,70.0,2.0,1,71011007071.0,4,3,99
7,1,25,0.0,0.0,0.0,210000,0.0,0.0,3,71011007071.0,7,12,99
7,1,42,0.0,0.0,600000.0,600000,45.0,2.0,3,71011008011.0,2,1,39
7,2,36,1.0,33.0,0.0,600000,0.0,0.0,3,71011008011.0,2,2,33
7,1,3,0.0,0.0,0.0,600000,0.0,0.0,1,71011008011.0,7,3,99
7,1,60,0.0,0.0,500000.0,500000,48.0,2.0,2,71011008041.0,1,1,51
7,2,61,3.0,21.0,0.0,500000,0.0,0.0,2,71011008041.0,1,2,99
7,2,25,2.0,16.0,0.0,500000,0.0,0.0,3,71011008041.0,7,1,16
7,2,6,0.0,0.0,0.0,500000,0.0,0.0,1,71011008041.0,7,4,99
7,1,9,0.0,0.0,0.0,500000,0.0,0.0,1,71011008041.0,7,4,99
7,1,35,0.0,0.0,500000.0,500000,45.0,2.0,3,71011008071.0,1,1,32
7,2,25,1.0,22.0,0.0,500000,0.0,0.0,2,71011008071.0,1,2,22
7,2,3,0.0,0.0,0.0,500000,0.0,0.0,1,71011008071.0,7,3,99
7,1,62,0.0,0.0,0.0,0,0.0,0.0,1,71011008081.0,7,1,99
7,2,93,9.0,30.0,0.0,0,0.0,0.0,3,71011008081.0,6,12,99
7,2,55,0.0,0.0,400000.0,400000,45.0,2.0,2,71011008091.0,7,1,99
7,1,50,0.0,0.0,750000.0,890000,50.0,2.0,3,71011009021.0,1,1,44
7,2,47,3.0,29.0,0.0,890000,0.0,0.0,3,71011009021.0,1,2,41
7,1,18,0.0,0.0,80000.0,890000,6.0,2.0,2,71011009021.0,7,3,99
7,1,16,0.0,0.0,60000.0,890000,6.0,2.0,2,71011009021.0,7,3,99
7,1,6,0.0,0.0,0.0,890000,0.0,0.0,1,71011009021.0,7,3,99
7,1,40,0.0,0.0,1211111.0,2011111,30.0,2.0,3,71011009041.0,1,1,40
7,2,38,3.0,22.0,800000.0,2011111,0.0,2.0,3,71011009041.0,1,2,38
7,2,16,0.0,0.0,0.0,2011111,0.0,0.0,2,71011009041.0,7,3,99
7,2,7,0.0,0.0,0.0,2011111,0.0,0.0,1,71011009041.0,7,3,99
7,2,0,0.0,0.0,0.0,2011111,0.0,0.0,1,71011009041.0,7,3,99
7,1,57,0.0,0.0,300000.0,650000,50.0,2.0,2,71011009051.0,1,1,35
7,2,55,2.0,21.0,0.0,650000,0.0,0.0,2,71011009051.0,1,2,33
7,1,33,0.0,0.0,0.0,650000,0.0,0.0,3,71011009051.0,7,3,99
7,1,22,0.0,0.0,350000.0,650000,44.0,2.0,3,71011009051.0,7,3,99
7,1,40,0.0,0.0,600000.0,850000,45.0,2.0,3,71011009071.0,1,1,29
7,2,39,2.0,25.0,250000.0,850000,45.0,2.0,3,71011009071.0,1,2,28
7,2,13,0.0,0.0,0.0,850000,0.0,0.0,1,71011009071.0,7,3,99
7,1,11,0.0,0.0,0.0,850000,0.0,0.0,1,71011009071.0,7,3,99
7,1,42,0.0,0.0,150000.0,590000,44.0,2.0,2,71011009081.0,2,1,26
7,2,39,2.0,17.0,210000.0,590000,44.0,2.0,2,71011009081.0,2,2,23
7,1,22,0.0,0.0,230000.0,590000,45.0,2.0,2,71011009081.0,7,5,99
7,1,16,0.0,0.0,0.0,590000,0.0,0.0,2,71011009081.0,7,3,99
7,1,55,0.0,0.0,700000.0,910000,45.0,2.0,1,71011009091.0,1,1,37
7,2,43,2.0,25.0,210000.0,910000,45.0,2.0,2,71011009091.0,1,2,25
7,1,10,0.0,0.0,0.0,910000,0.0,0.0,1,71011009091.0,7,3,99
7,2,18,0.0,0.0,0.0,910000,0.0,0.0,3,71011009091.0,7,3,99
7,2,63,4.0,26.0,0.0,1600000,0.0,0.0,3,71011009121.0,4,1,36
7,2,30,0.0,0.0,1000000.0,1600000,46.0,2.0,3,71011009121.0,7,4,99
7,1,27,0.0,0.0,600000.0,1600000,45.0,2.0,3,71011009121.0,7,4,99
7,2,38,2.0,19.0,500000.0,2500000,0.0,2.0,2,71011009131.0,2,1,38
7,1,36,0.0,0.0,2000000.0,2500000,48.0,2.0,2,71011009131.0,2,2,36
7,2,19,0.0,0.0,0.0,2500000,0.0,0.0,3,71011009131.0,7,4,99
7,1,0,0.0,0.0,0.0,2500000,0.0,0.0,1,71011009131.0,7,3,99
7,2,50,4.0,22.0,0.0,290000,0.0,0.0,2,71011009171.0,4,1,49
7,2,82,4.0,24.0,0.0,290000,0.0,0.0,2,71011009171.0,7,12,99
7,2,22,1.0,21.0,110000.0,290000,18.0,2.0,3,71011009171.0,7,1,21
7,2,19,0.0,0.0,180000.0,290000,44.0,2.0,2,71011009171.0,7,4,99
7,1,18,0.0,0.0,0.0,290000,0.0,0.0,2,71011009171.0,7,4,99
7,2,1,0.0,0.0,0.0,290000,0.0,0.0,1,71011009171.0,7,4,99
7,1,28,0.0,0.0,168000.0,928000,10.0,1.0,3,71011009221.0,2,1,99
7,2,26,0.0,0.0,0.0,928000,0.0,0.0,3,71011009221.0,2,2,99
7,1,24,0.0,0.0,360000.0,928000,7.0,2.0,3,71011009221.0,2,1,99
7,2,26,0.0,0.0,400000.0,928000,30.0,2.0,3,71011009221.0,2,2,99
7,2,47,2.0,17.0,110000.0,110000,20.0,1.0,3,71011009241.0,3,1,44
7,1,3,0.0,0.0,0.0,110000,0.0,0.0,1,71011009241.0,7,4,99
7,1,64,0.0,0.0,200000.0,200000,50.0,2.0,1,71011009251.0,2,1,99
7,2,55,3.0,19.0,0.0,200000,0.0,0.0,2,71011009251.0,2,2,99
7,2,41,3.0,17.0,0.0,0,0.0,0.0,2,71011009261.0,4,1,29
7,1,23,0.0,0.0,0.0,0,0.0,0.0,3,71011009261.0,7,4,99
7,2,17,0.0,0.0,0.0,0,0.0,0.0,2,71011009261.0,7,4,99
7,2,12,0.0,0.0,0.0,0,0.0,0.0,1,71011009261.0,7,4,99
7,2,80,4.0,99.0,0.0,420000,0.0,0.0,1,71011010011.0,7,1,73
7,2,35,1.0,27.0,210000.0,420000,45.0,2.0,2,71011010011.0,7,1,28
7,1,7,0.0,0.0,0.0,420000,0.0,0.0,1,71011010011.0,7,4,99
7,1,20,0.0,0.0,210000.0,420000,45.0,2.0,2,71011010011.0,7,12,99
7,1,72,0.0,0.0,400000.0,700000,45.0,2.0,1,71011010021.0,1,1,46
7,2,70,4.0,20.0,0.0,700000,0.0,0.0,1,71011010021.0,1,2,44
7,1,26,0.0,0.0,300000.0,700000,45.0,2.0,3,71011010021.0,7,3,99
