"region","sexo","edad","nhijos","ephijo","ytrabaj","ytrabajh","horas","tsec","esc","vector_id"
1,2,13,0,0,0,250000,0,0,1,1
1,2,15,1,14,0,0,0,0,1,1
1,2,14,0,0,0,0,0,0,1,2
1,2,16,1,15,0,0,0,0,1,2
1,2,14,0,0,0,2e+06,0,0,1,3
1,2,16,1,15,0,0,0,0,1,3
1,2,13,0,0,0,230000,0,0,1,4
1,2,15,1,14,0,0,0,0,1,4
1,2,13,0,0,0,220000,0,0,1,5
1,2,15,1,14,0,0,0,0,1,5
1,2,14,0,0,0,450000,0,0,1,6
1,2,16,1,15,0,0,0,0,1,6
1,2,23,0,0,0,210000,0,0,1,7
1,2,25,2,22,0,0,0,0,1,7
1,2,25,3,15,280000,280000,56,0,1,7
1,2,14,0,0,0,3e+06,0,0,1,8
1,2,16,1,15,0,0,0,0,1,8
1,2,13,0,0,0,363194,0,0,1,9
1,2,15,1,14,0,0,0,0,1,9
1,2,14,0,0,0,3e+06,0,0,1,10
1,2,16,1,15,0,0,0,0,1,10
1,2,14,0,0,0,3250000,0,0,1,11
1,2,16,1,15,0,0,0,0,1,11
1,2,14,0,0,0,0,0,0,1,12
1,2,16,1,15,0,0,0,0,1,12
1,2,13,0,0,0,120000,0,0,1,13
1,2,15,1,14,0,0,0,0,1,13
1,2,30,0,0,210000,810000,45,2,1,14
1,2,32,4,20,0,0,0,0,1,14
1,2,32,4,15,0,0,0,0,1,14
1,2,14,0,0,0,650000,0,0,1,15
1,2,16,1,15,0,0,0,0,1,15
1,2,13,0,0,0,630000,0,0,1,16
1,2,15,1,14,0,0,0,0,1,16
1,2,27,0,0,0,1800000,0,0,1,17
1,2,29,1,25,241000,241000,45,0,1,17
1,2,29,1,19,0,0,0,0,1,17
1,2,13,0,0,0,1800000,0,0,1,18
1,2,15,1,14,0,0,0,0,1,18
1,2,15,0,0,0,8e+05,0,0,1,19
1,2,17,1,15,0,0,0,0,1,19
1,2,17,1,14,0,0,0,0,1,19
1,2,13,0,0,0,379500,0,0,1,20
1,2,15,1,14,0,0,0,0,1,20
1,2,14,0,0,0,1450000,0,0,1,21
1,2,16,1,15,0,0,0,0,1,21
1,2,19,0,0,0,4e+05,0,0,1,22
1,2,21,1,20,190000,190000,20,0,1,22
1,2,21,1,19,180000,180000,70,0,1,22
1,2,15,0,0,0,6e+05,0,0,1,23
1,2,17,1,15,0,0,0,0,1,23
1,2,17,1,14,0,0,0,0,1,23
1,2,13,0,0,0,720000,0,0,1,24
1,2,15,1,14,0,0,0,0,1,24
1,2,14,0,0,0,5e+05,0,0,1,25
1,2,16,1,15,0,0,0,0,1,25
1,2,15,0,0,0,360000,0,0,1,26
1,2,17,1,15,0,0,0,0,1,26
1,2,17,1,14,0,0,0,0,1,26
1,2,14,0,0,0,280000,0,0,1,27
1,2,16,1,15,0,0,0,0,1,27
1,2,52,0,0,0,4e+05,0,0,1,28
1,2,54,1,17,245000,245000,45,0,1,28
1,2,54,3,24,0,0,0,0,1,28
1,2,13,0,0,0,1460000,0,0,1,29
1,2,15,1,14,0,0,0,0,1,29
1,2,14,0,0,0,250000,0,0,1,30
1,2,16,1,15,0,0,0,0,1,30
1,2,13,0,0,0,1080000,0,0,1,31
1,2,15,1,14,0,0,0,0,1,31
1,2,13,0,0,0,650000,0,0,1,32
1,2,15,1,14,0,0,0,0,1,32
1,2,13,0,0,0,1200000,0,0,1,33
1,2,15,1,14,0,0,0,0,1,33
1,2,20,0,0,0,0,0,0,1,34
1,2,22,1,16,10000,10000,12,0,1,34
1,2,22,1,21,150000,150000,40,0,1,34
1,2,22,0,0,0,0,0,0,1,34
1,2,22,0,0,0,0,0,0,1,34
1,2,14,0,0,0,450000,0,0,1,35
1,2,16,1,15,0,0,0,0,1,35
1,2,13,0,0,0,280000,0,0,1,36
1,2,15,1,14,0,0,0,0,1,36
1,2,15,0,0,0,0,0,0,1,37
1,2,17,1,15,0,0,0,0,1,37
1,2,17,1,14,0,0,0,0,1,37
1,2,21,0,0,0,210000,0,0,1,38
1,2,23,1,22,0,0,0,0,1,38
1,2,23,4,14,0,0,0,0,1,38
1,2,23,0,0,0,0,0,0,1,38
1,2,23,0,0,144000,144000,50,0,1,38
1,2,14,0,0,0,0,0,0,1,39
1,2,16,1,15,0,0,0,0,1,39
1,2,14,0,0,0,350000,0,0,1,40
1,2,16,1,15,0,0,0,0,1,40
1,2,13,0,0,0,3e+05,0,0,1,41
1,2,15,1,14,0,0,0,0,1,41
1,2,14,0,0,0,4e+06,0,0,1,42
1,2,16,1,15,0,0,0,0,1,42
1,2,14,0,0,0,440000,0,0,1,43
1,2,16,1,15,0,0,0,0,1,43
1,2,15,0,0,0,250000,0,0,1,44
1,2,17,1,15,0,0,0,0,1,44
1,2,17,1,14,0,0,0,0,1,44
1,2,37,0,0,3e+05,1800000,45,2,1,45
1,2,39,3,16,0,0,0,0,1,45
1,2,39,2,21,0,0,0,0,1,45
1,2,39,0,0,0,0,0,0,1,45
1,2,13,0,0,0,1800000,0,0,1,46
1,2,15,1,14,0,0,0,0,1,46
1,2,14,0,0,0,885000,0,0,1,47
1,2,16,1,15,0,0,0,0,1,47
1,2,14,0,0,0,8e+05,0,0,1,48
1,2,16,1,15,0,0,0,0,1,48
1,2,13,0,0,0,210000,0,0,1,49
1,2,15,1,14,0,0,0,0,1,49
1,2,14,0,0,0,1e+05,0,0,1,50
1,2,16,1,15,0,0,0,0,1,50
1,2,13,0,0,0,170000,0,0,1,51
1,2,15,1,14,0,0,0,0,1,51
1,2,28,0,0,160000,461515,48,2,1,52
1,2,30,2,20,0,0,0,0,1,52
1,2,30,3,15,0,0,0,0,1,52
1,2,30,0,0,0,0,0,0,1,52
1,2,13,0,0,0,461515,0,0,1,53
1,2,15,1,14,0,0,0,0,1,53
1,2,15,0,0,0,0,0,0,1,54
1,2,17,1,15,0,0,0,0,1,54
1,2,17,1,14,0,0,0,0,1,54
1,2,13,0,0,0,0,0,0,1,55
1,2,15,1,14,0,0,0,0,1,55
1,2,15,0,0,0,4e+05,0,0,1,56
1,2,17,1,15,0,0,0,0,1,56
1,2,17,1,14,0,0,0,0,1,56
1,2,56,0,0,0,1520000,0,0,1,57
1,2,58,2,18,0,0,0,0,1,57
1,2,58,1,23,0,0,0,0,1,57
1,2,13,0,0,0,4e+05,0,0,1,58
1,2,15,1,14,0,0,0,0,1,58
1,2,83,0,0,0,850000,0,0,1,59
1,2,85,7,20,0,0,0,0,1,59
1,2,85,2,35,0,0,0,0,1,59
1,2,14,0,0,0,8e+05,0,0,1,60
1,2,16,1,15,0,0,0,0,1,60
1,2,13,0,0,0,210000,0,0,1,61
1,2,15,1,14,0,0,0,0,1,61
1,2,14,0,0,0,340000,0,0,1,62
1,2,16,1,15,0,0,0,0,1,62
1,2,13,0,0,0,5e+05,0,0,1,63
1,2,15,1,14,0,0,0,0,1,63
1,2,13,0,0,0,5e+05,0,0,1,64
1,2,15,1,14,0,0,0,0,1,64
1,2,14,0,0,0,6e+05,0,0,1,65
1,2,16,1,15,0,0,0,0,1,65
1,2,13,0,0,0,1200000,0,0,1,66
1,2,15,1,14,0,0,0,0,1,66
1,2,69,0,0,0,4e+05,0,0,1,67
1,2,71,5,15,0,0,0,0,1,67
1,2,71,2,21,0,0,0,0,1,67
1,2,85,0,0,0,0,0,0,1,68
1,2,87,8,19,0,0,0,0,1,68
1,2,87,5,15,0,0,0,0,1,68
1,2,87,0,0,0,0,0,0,1,68
1,2,36,0,0,25000,447766,50,2,1,69
1,2,38,1,23,150000,150000,24,0,1,69
1,2,38,5,16,0,0,0,0,1,69
1,2,38,0,0,0,0,0,0,1,69
1,2,13,0,0,0,447766,0,0,1,70
1,2,15,1,14,0,0,0,0,1,70
1,2,14,0,0,0,0,0,0,1,71
1,2,16,1,15,0,0,0,0,1,71
1,2,33,0,0,250000,450000,15,2,1,72
1,2,35,3,15,5e+05,5e+05,60,0,1,72
1,2,35,2,21,0,0,0,0,1,72
1,2,35,0,0,0,0,0,0,1,72
1,2,35,0,0,0,0,0,0,1,72
1,2,40,0,0,0,6e+05,0,0,1,73
1,2,42,2,35,0,0,0,0,1,73
1,2,42,5,16,224000,224000,36,0,1,73
1,2,42,0,0,0,0,0,0,1,73
1,2,42,0,0,0,0,0,0,1,73
1,2,13,0,0,0,335000,0,0,1,74
